Qual método realiza a sequência de Fibonacci até o n-ésimo termo?;/home/matheus/Documentos/java project/duelOfDevelopers/imagens/pergunta01-opcao01.png;true;/home/matheus/Documentos/java project/duelOfDevelopers/imagens/pergunta01-opcao02.png;false
Qual método retorna o fatorial de um número?;/home/matheus/Documentos/java project/duelOfDevelopers/imagens/pergunta02-opcao01.png;true;/home/matheus/Documentos/java project/duelOfDevelopers/imagens/pergunta02-opcao02.png;false
Qual método realiza o triângulo de Floyd?;/home/matheus/Documentos/java project/duelOfDevelopers/imagens/pergunta03-opcao01.png;false;/home/matheus/Documentos/java project/duelOfDevelopers/imagens/pergunta03-opcao02.png;true
Qual método tem um erro de sintax?;/home/matheus/Documentos/java project/duelOfDevelopers/imagens/pergunta04-opcao01.png;true;/home/matheus/Documentos/java project/duelOfDevelopers/imagens/pergunta04-opcao02.png;false
Qual método tem três erros de sintax?;/home/matheus/Documentos/java project/duelOfDevelopers/imagens/pergunta05-opcao01.png;true;/home/matheus/Documentos/java project/duelOfDevelopers/imagens/pergunta05-opcao02.png;false
Qual das imagens tem uma função em python?;/home/matheus/Documentos/java project/duelOfDevelopers/imagens/pergunta06-opcao01.png;true;/home/matheus/Documentos/java project/duelOfDevelopers/imagens/pergunta06-opcao02.png;false
Qual dos métodos retorna um número aleatorio entre 0 e 10?;/home/matheus/Documentos/java project/duelOfDevelopers/imagens/pergunta07-opcao01.png;true;/home/matheus/Documentos/java project/duelOfDevelopers/imagens/pergunta07-opcao02.png;false
Qual das imagens é um construtor válido?;/home/matheus/Documentos/java project/duelOfDevelopers/imagens/pergunta08-opcao01.png;false;/home/matheus/Documentos/java project/duelOfDevelopers/imagens/pergunta08-opcao02.png;true
Qual das imagens tem uma função em javascript?;/home/matheus/Documentos/java project/duelOfDevelopers/imagens/pergunta09-opcao01.png;false;/home/matheus/Documentos/java project/duelOfDevelopers/imagens/pergunta09-opcao02.png;true
Qual método não tem um erro de sintax?;/home/matheus/Documentos/java project/duelOfDevelopers/imagens/pergunta10-opcao01.png;false;/home/matheus/Documentos/java project/duelOfDevelopers/imagens/pergunta10-opcao02.png;true
